"dist","yield (kg/acre)","acres","planting fam lab child (pers-hrs/acre)","seed (kg/acre)","Total CAN fert (kg/acre)","Total NPK fert (kg/acre)","Total UREA fert (kg/acre)","dap (kg/acre)","Total P&D chem (kg/acre)","adopter","tenure: owned with title deed","landprep: oxen","landprep: tractor","aehh07","Rain anomaly","Cstar","dap (KES/acre)","Total CAN fert (KES/acre)","Total NPK fert (KES/acre)","Total UREA fert (KES/acre)","Total P&D chem (KES/acre)","Rstar","dap (KES/kg)","Total CAN fert (KES/kg)","Total NPK fert (KES/kg)","Total UREA fert (KES/kg)","Total P&D chem (KES/kg)","harvesting (KES/hour)","P"
"Kilifi","5.90647839070131","0","0","1.38629436111989","0","0","0","0","0.693147180559945","1","0","0","0","2.08774034449453","0.223592680083839","6.42971947803914","0","0","0","0","400","8.49674555614713","0","0","0","0","200",NA,"13.3333333333333"
"Kilifi","6.14997357267633","1.09861228866811","0","1.67397643357167","0","0","0","2.12026353620009","0.693147180559945","0","0","0","0","1.96009478404727","0.223592680083839","6.21460809842219","333.333333333333","0","0","0","500","8.74024073812215","80","0","0","0","250",NA,"13.3333333333333"
"Kilifi","6.75046969045939","0","3.29583686600433","1.38629436111989","0","0","0","0","1.6094379124341","0","0","0","0","2.7173402480093","0.223592680083839","7.02108396428914","0","0","0","0","1120","9.34073685590522","0","0","0","0","224",NA,"13.3333333333333"
"Kilifi","4.73928578293203","1.38629436111989","0","1.09861228866811","0","0","0","0","0","1","0","0","1","1.47970880575932","0.223592680083839","7.80791662892641","0","0","0","0","0","7.32955294837786","0","0","0","0","0",NA,"13.3333333333333"
"Kilifi","5.50101328259314","1.09861228866811","0","0.287682072451781","0","0","0","0","-0.405465108108164","1","0","0","0","1.76130026174335","0.223592680083839","7.70375984498179","0","0","0","0","100","8.09128044803897","0","0","0","0","150",NA,"13.3333333333333"
"Kilifi","6.51444598864399","0.405465108108164","0","1.38629436111989","0","0","0","0","0.287682072451781","0","1","0","0","2.09001049302907","0.151840942914281","5.84836370346731","0","0","0","0","173.333333333333","9.10471315408981","0","0","0","0","130",NA,"13.3333333333333"
"Kilifi","6.11472146259961","0.405465108108164","0","1.89711998488588","0","0","0","0","-0.405465108108164","0","0","0","0","2.04100385521446","0.223592680083839","4.78749174278205","0","0","0","0","120","8.70498862804543","0","0","0","0","180",NA,"13.3333333333333"
"Kilifi","6.02201800015144","0.693147180559945","0","1.09861228866811","1.38629436111989","1.38629436111989","0","0","0.916290731874155","1","0","0","0","1.49065437644413","0.223592680083839","7.83459022473196","0","120","144","0","937.5","8.61228516559727","0","30","36","0","375","12.5","13.3333333333333"
"Kisii","6.45741309059566","-0.693147180559945","0","2.30258509299405","0","0","0","3.91202300542815","0","1","1","0","0","0.446820293790078","0.30235245008898","6.5510803350434","1890","0","0","0","0","9.04768025604148","37.8","0","0","0","0","6.25","13.3333333333333"
"Kisii","6.45741309059566","0","0","2.30258509299405","0","0","0","3.91202300542815","0","1","1","0","0","0.857955154861192","0.30235245008898","5.63478960316925","1800","0","0","0","0","9.04768025604148","36","0","0","0","0",NA,"13.3333333333333"
"Kisii","6.80256141610363","0","0","2.14006616349627","0","0","0","2.63905732961526","0","1","0","0","0","1.44022999478553","0.30235245008898","5.48063892334199","560","0","0","0","0","9.39282858154946","80","0","0","0","0",NA,"13.3333333333333"
