"","symbol","date","open","high","low","close","volume","adjusted"
"391","ZC=F",2015-03-23,385,391.75,385,390.25,160884,390.25
"392","ZC=F",2015-03-24,389.25,393.75,388.5,393.25,135276,393.25
"393","ZC=F",2015-03-25,392.75,395.75,391.5,395,150274,395
"394","ZC=F",2015-03-26,394,397,389.25,391.25,156056,391.25
"395","ZC=F",2015-03-27,391,393.5,389.25,391,136749,391
"396","ZC=F",2015-03-30,391.5,395,390,394.5,175824,394.5
"397","ZC=F",2015-03-31,394,398.5,375.5,376.25,349246,376.25
"398","ZC=F",2015-04-01,377,382.25,374,381.75,221060,381.75
"399","ZC=F",2015-04-02,381.75,388.5,378.25,386.5,177882,386.5
"400","ZC=F",2015-04-06,386.25,390,383.5,385,84776,385
"401","ZC=F",2015-04-07,385,387.25,382,383,99163,383
"402","ZC=F",2015-04-08,383.25,385,376.75,379.25,214355,379.25
"403","ZC=F",2015-04-09,379,380,375,378,198132,378
"404","ZC=F",2015-04-10,378.25,379.5,374.25,377,196231,377
"405","ZC=F",2015-04-13,375,376,370.25,370.5,184709,370.5
"406","ZC=F",2015-04-14,371,374.75,370,373.5,173032,373.5
"407","ZC=F",2015-04-15,372.75,379,370.5,376,220497,376
"408","ZC=F",2015-04-16,375.75,377.75,373,376.25,122447,376.25
"409","ZC=F",2015-04-17,376.25,380.75,375,379.75,152395,379.75
"410","ZC=F",2015-04-20,379.5,381.75,375.75,378,133450,378
"411","ZC=F",2015-04-21,377,377,371.25,373,179367,373
"412","ZC=F",2015-04-22,373,374,369.25,372.5,141185,372.5
"413","ZC=F",2015-04-23,372.5,378,370.25,370.75,191785,370.75
"414","ZC=F",2015-04-24,371,371.25,363.75,364.5,145306,364.5
"415","ZC=F",2015-04-27,363.75,365.25,360.5,360.75,139207,360.75
"416","ZC=F",2015-04-28,360.5,363.5,359,361,116765,361
"417","ZC=F",2015-04-29,361,364.5,359.5,363.75,79151,363.75
"418","ZC=F",2015-04-30,364.25,367.75,360,362.5,19353,362.5
"419","ZC=F",2015-05-01,362.5,363,357.5,359.75,6089,359.75
"420","ZC=F",2015-05-04,359,360.75,356.75,358.75,3335,358.75
"421","ZC=F",2015-05-05,357.75,361.75,354,361.25,4250,361.25
"422","ZC=F",2015-05-06,361.75,369,361.75,366.5,2990,366.5
"423","ZC=F",2015-05-07,365.5,366.25,357.25,357.75,3293,357.75
"424","ZC=F",2015-05-08,357.75,359,356.5,358.5,1210,358.5
"425","ZC=F",2015-05-11,359,361,357,358.25,636,358.25
"426","ZC=F",2015-05-12,358.25,362,355.25,357,406,357
"427","ZC=F",2015-05-13,356.25,359,352.75,356,579,356
"428","ZC=F",2015-05-14,356.75,363.75,356,361,198520,361
"429","ZC=F",2015-05-15,367.75,371.5,362,365.5,171130,365.5
"430","ZC=F",2015-05-18,365.25,371.25,364,368,155820,368
"431","ZC=F",2015-05-19,367.25,368.5,360.25,362,175468,362
"432","ZC=F",2015-05-20,362.25,362.5,358.5,360,152947,360
"433","ZC=F",2015-05-21,360,366.5,359.75,365,170412,365
"434","ZC=F",2015-05-22,364,367.75,359.75,360,155675,360
"435","ZC=F",2015-05-26,361,362.5,354,355,172180,355
"436","ZC=F",2015-05-27,355,356.5,348.75,349.5,180699,349.5
"437","ZC=F",2015-05-28,349.5,355,348.25,353.5,163613,353.5
"438","ZC=F",2015-05-29,353.25,357,350,351.5,141539,351.5
"439","ZC=F",2015-06-01,350.5,354.25,348.25,352.25,140812,352.25
"440","ZC=F",2015-06-02,352,359.5,351.75,359,180406,359
"441","ZC=F",2015-06-03,359,364,357,359,222940,359
"442","ZC=F",2015-06-04,358.5,364.5,356.5,363.5,146468,363.5
"443","ZC=F",2015-06-05,362.75,367.25,359.75,360.5,209282,360.5
"444","ZC=F",2015-06-08,360.5,366.25,360.5,365.25,174596,365.25
"445","ZC=F",2015-06-09,364.75,368.5,362.5,365,230801,365
"446","ZC=F",2015-06-10,364.75,366.5,356.75,357.25,349011,357.25
"447","ZC=F",2015-06-11,357.5,360,354.5,356.5,256052,356.5
"448","ZC=F",2015-06-12,356,356.75,352.25,353,223042,353
"449","ZC=F",2015-06-15,353,353.25,346.75,348.25,261742,348.25
"450","ZC=F",2015-06-16,349,354.25,347.5,354,253135,354
"451","ZC=F",2015-06-17,353.75,361.25,353.75,359.25,197540,359.25
"452","ZC=F",2015-06-18,359,361.25,356,358,180245,358
"453","ZC=F",2015-06-19,357.75,358,351.75,353.25,164909,353.25
"454","ZC=F",2015-06-22,352.75,360.5,350.5,360,179336,360
"455","ZC=F",2015-06-23,361,368.75,360.5,367.5,202628,367.5
"456","ZC=F",2015-06-24,367,371,363.25,366.5,210672,366.5
"457","ZC=F",2015-06-25,366,377,363.5,376.5,176632,376.5
"458","ZC=F",2015-06-26,376,390,375.5,385,191984,385
"459","ZC=F",2015-06-29,383.75,391.75,381.75,383.25,138122,383.25
"460","ZC=F",2015-06-30,383.25,415,382.75,414,39750,414
"461","ZC=F",2015-07-01,411,417,403,413.75,18653,413.75
"462","ZC=F",2015-07-02,413,422,409.75,419.75,11002,419.75
"463","ZC=F",2015-07-06,417.75,419.5,409,418.5,10263,418.5
"464","ZC=F",2015-07-07,412.5,416,407.75,415.75,6959,415.75
"465","ZC=F",2015-07-08,414.75,420.75,411.75,416.25,5780,416.25
"466","ZC=F",2015-07-09,416.5,425,416.5,421.25,5157,421.25
"467","ZC=F",2015-07-10,420,431,418,427.25,1961,427.25
"468","ZC=F",2015-07-13,427,434.25,424,433.5,1528,433.5
"469","ZC=F",2015-07-14,433.75,436.25,423.25,424,157441,424
"470","ZC=F",2015-07-15,427,431.75,421,429.5,155160,429.5
"471","ZC=F",2015-07-16,430.25,438.75,428.25,430,144241,430
"472","ZC=F",2015-07-17,428,429.5,418.25,420.25,108363,420.25
"473","ZC=F",2015-07-20,418.5,418.5,404.5,405,115539,405
"474","ZC=F",2015-07-21,406.5,410.25,402.5,406.5,99828,406.5
"475","ZC=F",2015-07-22,407.25,407.5,399.75,402.75,102950,402.75
"476","ZC=F",2015-07-23,403.5,405.25,398.5,403.25,91749,403.25
"477","ZC=F",2015-07-24,403.25,403.5,392,392.5,95623,392.5
"478","ZC=F",2015-07-27,389,389.25,372.5,373,168643,373
"479","ZC=F",2015-07-28,373.5,376,370,375,90252,375
"480","ZC=F",2015-07-29,377.5,377.75,367,367.75,102337,367.75
"481","ZC=F",2015-07-30,367.75,374.5,365.75,373.25,122979,373.25
"482","ZC=F",2015-07-31,374.75,377.5,369.25,371,108953,371
"483","ZC=F",2015-08-03,370,370.5,365,366.5,87164,366.5
"484","ZC=F",2015-08-04,368,372.75,366.75,368.75,84695,368.75
"485","ZC=F",2015-08-05,368.75,373.75,367.5,372.75,124085,372.75
"486","ZC=F",2015-08-06,372.5,375,369.25,369.75,90804,369.75
"487","ZC=F",2015-08-07,370,375,366.5,372.75,135952,372.75
"488","ZC=F",2015-08-10,374,391.5,373.75,390.25,179127,390.25
"489","ZC=F",2015-08-11,388.5,388.5,376,376.5,150143,376.5
"490","ZC=F",2015-08-12,377,382.75,346.5,357.25,213756,357.25
"491","ZC=F",2015-08-13,358.25,364.75,355.25,363.75,171458,363.75
"492","ZC=F",2015-08-14,363.75,365.75,359.75,364,121627,364
"493","ZC=F",2015-08-17,363.5,368,361.25,363.25,96021,363.25
"494","ZC=F",2015-08-18,363,368.25,361.75,366.25,92424,366.25
"495","ZC=F",2015-08-19,366,372,365.75,367.25,95765,367.25
"496","ZC=F",2015-08-20,367,371.75,367,371,106836,371
"497","ZC=F",2015-08-21,370.25,372.5,364,365.25,96220,365.25
"498","ZC=F",2015-08-24,365,370.25,354,368.75,157282,368.75
"499","ZC=F",2015-08-25,368,375,363.75,365.5,110032,365.5
"500","ZC=F",2015-08-26,365.25,369,361.5,361.75,82911,361.75
"501","ZC=F",2015-08-27,362.5,367.25,360.25,363.75,128432,363.75
"502","ZC=F",2015-08-28,362.5,368.75,362.25,363.25,121534,363.25
"503","ZC=F",2015-08-31,362.25,365.25,359.75,363.75,26929,363.75
"504","ZC=F",2015-09-01,362.5,362.5,355.25,356,14224,356
"505","ZC=F",2015-09-02,356.75,358,351.25,354,8732,354
"506","ZC=F",2015-09-03,354,354.25,347.25,347.75,8523,347.75
"507","ZC=F",2015-09-04,348,350.75,346.75,349.5,5793,349.5
"508","ZC=F",2015-09-08,354.25,355.5,351,355,4757,355
"509","ZC=F",2015-09-09,353.25,359.25,353.25,356.5,4069,356.5
"510","ZC=F",2015-09-10,356,362.25,355.5,361.75,2090,361.75
"511","ZC=F",2015-09-11,361.75,374.75,357,374.5,2234,374.5
"512","ZC=F",2015-09-14,377.5,381,375,379,191326,379
"513","ZC=F",2015-09-15,392.75,395,388.75,390.5,137584,390.5
"514","ZC=F",2015-09-16,390,391,383,386,136515,386
"515","ZC=F",2015-09-17,385.25,385.5,379.25,379.75,100749,379.75
"516","ZC=F",2015-09-18,380,382.5,376.5,377.25,122700,377.25
"517","ZC=F",2015-09-21,376.5,385.5,375,384.5,148745,384.5
"518","ZC=F",2015-09-22,384,384.5,377.25,380.5,125418,380.5
"519","ZC=F",2015-09-23,379.5,384.5,379,383.25,99196,383.25
"520","ZC=F",2015-09-24,382.75,384,379.25,381.5,106335,381.5
"521","ZC=F",2015-09-25,381.25,389.5,381,389,143043,389
"522","ZC=F",2015-09-28,388.75,392.5,383.75,386.75,143666,386.75
"523","ZC=F",2015-09-29,387.25,389.5,385,389,128653,389
"524","ZC=F",2015-09-30,389,394.5,383.5,387.75,268863,387.75
"525","ZC=F",2015-10-01,387.75,393,385,388.75,136427,388.75
"526","ZC=F",2015-10-02,388,391.5,384,389.25,164402,389.25
"527","ZC=F",2015-10-05,389.25,394,388.75,393.5,113450,393.5
"528","ZC=F",2015-10-06,392.75,399,391.75,398.25,190309,398.25
"529","ZC=F",2015-10-07,397.5,399.75,393.75,395.75,146387,395.75
"530","ZC=F",2015-10-08,394.75,395.75,390.5,391.25,131351,391.25
"531","ZC=F",2015-10-09,391,394.25,381.5,382.75,262772,382.75
"532","ZC=F",2015-10-12,381.5,385.25,380.25,380.75,134597,380.75
"533","ZC=F",2015-10-13,381,384.75,379,384.5,148065,384.5
"534","ZC=F",2015-10-14,384.5,386.75,378.5,379,137517,379
"535","ZC=F",2015-10-15,378.75,379.5,375,375.5,123418,375.5
"536","ZC=F",2015-10-16,375.5,378,372.5,376.75,142264,376.75
"537","ZC=F",2015-10-19,377.25,377.5,372.5,373,120046,373
"538","ZC=F",2015-10-20,372.75,377.75,372,376.75,169213,376.75
"539","ZC=F",2015-10-21,377,381,375.5,380.75,215666,380.75
"540","ZC=F",2015-10-22,380.25,383.5,377.5,378.25,132712,378.25
"541","ZC=F",2015-10-23,377.75,380,375,379.75,171647,379.75
"542","ZC=F",2015-10-26,380,385.75,378,384.5,200132,384.5
"543","ZC=F",2015-10-27,384,387.5,379,380,205737,380
"544","ZC=F",2015-10-28,379.75,380.75,375.75,376,153094,376
"545","ZC=F",2015-10-29,376,380.5,375.5,380,146184,380
"546","ZC=F",2015-10-30,379.75,383.75,378.75,382.25,152847,382.25
"547","ZC=F",2015-11-02,381.25,381.75,376,376.5,173276,376.5
"548","ZC=F",2015-11-03,376.5,382.25,375.75,380.5,247284,380.5
"549","ZC=F",2015-11-04,379.5,383.5,376.5,380.5,245045,380.5
"550","ZC=F",2015-11-05,379.5,379.75,373.75,374.5,241092,374.5
"551","ZC=F",2015-11-06,374.75,375.25,370,373,218103,373
"552","ZC=F",2015-11-09,372.75,375.5,366.5,366.75,295989,366.75
"553","ZC=F",2015-11-10,367,367.75,356,359,428758,359
"554","ZC=F",2015-11-11,360.5,363.5,359.5,362.25,274519,362.25
"555","ZC=F",2015-11-12,361.75,363.5,359.25,362,264486,362
"556","ZC=F",2015-11-13,361.5,362.25,358,358.25,165822,358.25
"557","ZC=F",2015-11-16,358.25,360.75,357.25,360,139156,360
"558","ZC=F",2015-11-17,360,362.5,358.25,362,195761,362
"559","ZC=F",2015-11-18,362,364.25,358.5,361.75,245397,361.75
"560","ZC=F",2015-11-19,361.75,365.5,360.25,364.25,175839,364.25
"561","ZC=F",2015-11-20,363.5,366.5,362,363.25,188672,363.25
"562","ZC=F",2015-11-23,362.5,367.5,360,367.25,177566,367.25
"563","ZC=F",2015-11-24,367,367.25,364,364.25,163371,364.25
"564","ZC=F",2015-11-25,364.25,366.5,364,366,147246,366
"565","ZC=F",2015-11-27,365.25,365.75,358.75,359.25,73101,359.25
"566","ZC=F",2015-11-30,359.75,366,359.25,365,33639,365
"567","ZC=F",2015-12-01,365.25,368.75,364.5,367,10597,367
"568","ZC=F",2015-12-02,367,367,363.5,364,4775,364
"569","ZC=F",2015-12-03,363.75,371.25,361.25,370.25,11682,370.25
"570","ZC=F",2015-12-04,370,376.5,369.75,376.25,4951,376.25
"571","ZC=F",2015-12-07,375.75,376,368,368.5,3397,368.5
"572","ZC=F",2015-12-08,369,371,367.25,370,3115,370
"573","ZC=F",2015-12-09,370.75,376.75,368.5,371.75,3550,371.75
"574","ZC=F",2015-12-10,372.5,379.25,371.75,377.25,2951,377.25
"575","ZC=F",2015-12-11,377,378.75,372.75,373,2061,373
"576","ZC=F",2015-12-14,373.5,381.75,373.5,381.75,128249,381.75
"577","ZC=F",2015-12-15,378.25,379.5,375.75,377.25,103753,377.25
"578","ZC=F",2015-12-16,377,377.75,369.25,369.75,159022,369.75
"579","ZC=F",2015-12-17,370.25,375,362.5,374.25,269285,374.25
"580","ZC=F",2015-12-18,374.25,379.5,372.75,374.5,180303,374.5
"581","ZC=F",2015-12-21,374,377,369.75,372,129720,372
"582","ZC=F",2015-12-22,372,374.5,366,366.25,124216,366.25
"583","ZC=F",2015-12-23,366.5,367.75,364.5,365.5,95523,365.5
"584","ZC=F",2015-12-24,365,365.75,363.5,364.5,57476,364.5
"585","ZC=F",2015-12-28,363.75,365.5,360.5,361,101006,361
"586","ZC=F",2015-12-29,361,363,357,362.5,123500,362.5
"587","ZC=F",2015-12-30,362.5,364,358,359,102103,359
"588","ZC=F",2015-12-31,358.5,360.25,357.5,358.75,77003,358.75
"589","ZC=F",2016-01-04,359.5,360,350.5,351.5,188747,351.5
"590","ZC=F",2016-01-05,352.75,356,351.75,353,147255,353
"591","ZC=F",2016-01-06,353.5,354.75,350.25,353.25,138855,353.25
"592","ZC=F",2016-01-07,353.25,354.25,348.5,353,151656,353
"593","ZC=F",2016-01-08,353,357.75,352.75,357,178645,357
"594","ZC=F",2016-01-11,357,357.25,349.5,351.75,174492,351.75
"595","ZC=F",2016-01-12,352,363.75,349.5,356.75,298175,356.75
"596","ZC=F",2016-01-13,356,360.75,355.5,358,216869,358
"597","ZC=F",2016-01-14,357.75,360.25,355.5,358,163853,358
"598","ZC=F",2016-01-15,358,363.5,356,363.25,179659,363.25
"599","ZC=F",2016-01-18,NA,NA,NA,NA,NA,NA
"600","ZC=F",2016-01-19,364,369.5,364,367.75,227108,367.75
"601","ZC=F",2016-01-20,367.5,369.25,365.25,368.75,193968,368.75
"602","ZC=F",2016-01-21,368.75,372,365.5,367,245065,367
"603","ZC=F",2016-01-22,366.75,371.5,366.5,370.25,163779,370.25
"604","ZC=F",2016-01-25,370,372.5,368,369.75,153213,369.75
"605","ZC=F",2016-01-26,369.25,372,367,369.25,167690,369.25
"606","ZC=F",2016-01-27,368.75,371,367.5,369.25,176387,369.25
"607","ZC=F",2016-01-28,368.75,370.25,365,365.5,180821,365.5
"608","ZC=F",2016-01-29,365.25,372.5,365,372,220973,372
"609","ZC=F",2016-02-01,371,371.75,367.75,371.25,144223,371.25
"610","ZC=F",2016-02-02,371.25,373.75,369,372.5,203481,372.5
"611","ZC=F",2016-02-03,372,373.25,370.25,371,156546,371
"612","ZC=F",2016-02-04,371,373.5,368,368.5,181870,368.5
"613","ZC=F",2016-02-05,369,369.5,365.5,365.75,232059,365.75
"614","ZC=F",2016-02-08,366,367,361.5,362.25,222967,362.25
"615","ZC=F",2016-02-09,362.25,362.75,359.25,361,262404,361
"616","ZC=F",2016-02-10,361,361.75,359.25,360.25,148373,360.25
"617","ZC=F",2016-02-11,360,363.25,358.5,360.25,219260,360.25
"618","ZC=F",2016-02-12,361,362,358.25,358.75,183832,358.75
"619","ZC=F",2016-02-15,NA,NA,NA,NA,NA,NA
"620","ZC=F",2016-02-16,359.75,363.5,359,363,213497,363
"621","ZC=F",2016-02-17,362.75,367.5,362,367.25,174335,367.25
"622","ZC=F",2016-02-18,367,368,365.25,365.5,231650,365.5
"623","ZC=F",2016-02-19,365.25,367.5,364.75,365.5,197441,365.5
"624","ZC=F",2016-02-22,366.5,369.25,366.25,367.5,218973,367.5
"625","ZC=F",2016-02-23,367,367.25,361.5,362,127839,362
"626","ZC=F",2016-02-24,362,362.75,358.75,359.75,170408,359.75
"627","ZC=F",2016-02-25,359.75,361.5,355,355.5,147056,355.5
"628","ZC=F",2016-02-26,355.5,356.25,352.5,354.5,120564,354.5
"629","ZC=F",2016-02-29,355,357,353,353.5,23036,353.5
"630","ZC=F",2016-03-01,353.5,355,353,353.75,11130,353.75
"631","ZC=F",2016-03-02,353.75,355.5,352.5,354.5,2360,354.5
"632","ZC=F",2016-03-03,354,355.5,351.75,353.75,4106,353.75
"633","ZC=F",2016-03-04,354,357.75,353.5,354.5,2335,354.5
"634","ZC=F",2016-03-07,357.5,358.5,354.5,355,1174,355
"635","ZC=F",2016-03-08,355,361,354.25,358.75,1194,358.75
"636","ZC=F",2016-03-09,358.75,360,356,359,1749,359
"637","ZC=F",2016-03-10,358.5,363,357.75,362.5,800,362.5
"638","ZC=F",2016-03-11,362.5,366.25,362.25,366,1779,366
"639","ZC=F",2016-03-14,366,367.75,364.25,366.75,159819,366.75
"640","ZC=F",2016-03-15,367.75,369.25,366.25,368.5,111210,368.5
"641","ZC=F",2016-03-16,367.75,368.5,366,368.25,104231,368.25
"642","ZC=F",2016-03-17,368.25,372,366.5,368.5,197301,368.5
"643","ZC=F",2016-03-18,368,369.25,366,367,96097,367
"644","ZC=F",2016-03-21,366.5,370,365.75,369.5,109502,369.5
"645","ZC=F",2016-03-22,369,371.75,368.75,370,148114,370
"646","ZC=F",2016-03-23,369.75,370,366,368.5,126700,368.5
"647","ZC=F",2016-03-24,368.75,370.25,367.25,370,146167,370
"648","ZC=F",2016-03-28,369.5,372,367.75,370.5,127556,370.5
"649","ZC=F",2016-03-29,370.5,373,368.5,373,174314,373
"650","ZC=F",2016-03-30,372.5,374,366.75,367,214614,367
"651","ZC=F",2016-03-31,366.75,367.25,347.5,351.5,522428,351.5
"652","ZC=F",2016-04-01,351.75,354.5,347.25,354,268649,354
"653","ZC=F",2016-04-04,353.75,355,350.75,354.5,183736,354.5
"654","ZC=F",2016-04-05,354.5,357,353.5,356.75,208622,356.75
"655","ZC=F",2016-04-06,356.75,359,355,358,174258,358
"656","ZC=F",2016-04-07,357.75,362,357.5,361.5,281791,361.5
"657","ZC=F",2016-04-08,361.5,362.75,359,362.25,227920,362.25
"658","ZC=F",2016-04-11,362,362.25,356,356.75,249689,356.75
"659","ZC=F",2016-04-12,357,365.5,356.75,362.75,341615,362.75
"660","ZC=F",2016-04-13,363,374.75,363,373.5,392883,373.5
"661","ZC=F",2016-04-14,373,374.5,369.75,374,296749,374
"662","ZC=F",2016-04-15,373.5,380.5,372,378.5,295448,378.5
"663","ZC=F",2016-04-18,375.25,384,375,381,222137,381
"664","ZC=F",2016-04-19,380,386,380,384.5,280508,384.5
"665","ZC=F",2016-04-20,384.5,395.5,383.25,394.75,217781,394.75
"666","ZC=F",2016-04-21,394,402,383.25,384.5,191428,384.5
"667","ZC=F",2016-04-22,384.25,384.25,370.5,371.75,174983,371.75
"668","ZC=F",2016-04-25,371.25,385,368.5,377,123098,377
"669","ZC=F",2016-04-26,377.25,383,374,382.25,110843,382.25
"670","ZC=F",2016-04-27,382,382.75,377,380.75,89197,380.75
"671","ZC=F",2016-04-28,379.75,390.75,378.75,387,74352,387
"672","ZC=F",2016-04-29,387,392,385,390.25,20109,390.25
"673","ZC=F",2016-05-02,388.75,391,383.5,390.25,8370,390.25
"674","ZC=F",2016-05-03,390.25,393.5,375.75,378.25,5540,378.25
"675","ZC=F",2016-05-04,376.5,377.5,372.5,373.25,10039,373.25
"676","ZC=F",2016-05-05,374.5,376.75,368.5,371.75,2453,371.75
"677","ZC=F",2016-05-06,372.25,377.5,372.25,376,1551,376
"678","ZC=F",2016-05-09,379.5,379.5,367,367.75,1035,367.75
"679","ZC=F",2016-05-10,367.75,383,367,378.5,841,378.5
"680","ZC=F",2016-05-11,378.5,381,371.75,374,1093,374
"681","ZC=F",2016-05-12,374.75,386,374.5,385.25,787,385.25
"682","ZC=F",2016-05-13,380.25,385.5,380.25,382,155078,382
"683","ZC=F",2016-05-16,390.25,394.25,386.25,394,161780,394
"684","ZC=F",2016-05-17,392.5,398,391.75,397,193693,397
"685","ZC=F",2016-05-18,397,400.5,394,399.5,184087,399.5
"686","ZC=F",2016-05-19,397.5,397.75,385.5,390,229117,390
"687","ZC=F",2016-05-20,390,396.75,389,394.5,177947,394.5
"688","ZC=F",2016-05-23,394,399.25,391,397.75,156434,397.75
"689","ZC=F",2016-05-24,397.25,403.25,394.5,397.5,160508,397.5
"690","ZC=F",2016-05-25,396.5,405,395.75,404.75,170814,404.75
"691","ZC=F",2016-05-26,404,409.25,400,408.25,223709,408.25
"692","ZC=F",2016-05-27,408,413.5,406.5,412.75,174313,412.75
"693","ZC=F",2016-05-31,412.5,413,404,404.75,205686,404.75
"694","ZC=F",2016-06-01,404.25,414,401,413.75,213032,413.75
"695","ZC=F",2016-06-02,413.75,419.5,412.5,415.25,223629,415.25
"696","ZC=F",2016-06-03,414,419.25,410.5,418.25,183279,418.25
